symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
PNB,2026-05-06T10:45:17.447672+00:00,46.61,33.0706562183755,50.0,50.0,50.0,,50.0,AVERAGE
PIDILITIND,2026-05-06T10:45:17.447672+00:00,48.32,41.5865256135493,50.0,50.0,50.0,,50.0,AVERAGE
ICICIPRULI,2026-05-06T10:45:17.447672+00:00,40.0,0.0,50.0,50.0,50.0,,50.0,AVERAGE
ICICIGI,2026-05-06T10:45:17.447672+00:00,45.57,27.825929786250903,50.0,50.0,50.0,,50.0,AVERAGE
DIVISLAB,2026-05-06T10:45:17.447672+00:00,52.01,60.05084655956941,50.0,50.0,50.0,,50.0,AVERAGE
TATAMOTORS,2026-05-06T10:45:17.447672+00:00,43.65,18.251399764338785,50.0,50.0,50.0,,50.0,AVERAGE
TATACONSUM,2026-05-06T10:45:17.447672+00:00,43.34,16.702204279523265,50.0,50.0,50.0,,50.0,AVERAGE
DABUR,2026-05-06T10:45:17.447672+00:00,47.61,38.04919509191799,50.0,50.0,50.0,,50.0,AVERAGE
SUNPHARMA,2026-05-06T10:45:17.447672+00:00,52.49,62.4543964719504,50.0,50.0,50.0,,50.0,AVERAGE
DLF,2026-05-06T10:45:17.447672+00:00,60.0,100.0,50.0,50.0,50.0,,50.0,GOOD
ASIANPAINT,2026-05-06T10:45:17.447672+00:00,47.09,35.45983315041939,50.0,50.0,50.0,,50.0,AVERAGE
JSWSTEEL,2026-05-06T10:45:17.447672+00:00,40.13,0.6502630157480911,50.0,50.0,50.0,,50.0,AVERAGE
NAUKRI,2026-05-06T10:45:17.447672+00:00,51.63,58.163497972476684,50.0,50.0,50.0,,50.0,AVERAGE
JSWENERGY,2026-05-06T10:45:17.447672+00:00,49.62,48.090452906361385,50.0,50.0,50.0,,50.0,AVERAGE
AXISBANK,2026-05-06T10:45:17.447672+00:00,52.35,61.75015082862464,50.0,50.0,50.0,,50.0,AVERAGE
ICICIBANK,2026-05-06T10:45:17.447672+00:00,56.74,83.71716565471074,50.0,50.0,50.0,,50.0,AVERAGE
POWERGRID,2026-05-06T10:45:17.447672+00:00,59.97,99.8654748184461,50.0,50.0,50.0,,50.0,AVERAGE
HINDUNILVR,2026-05-06T10:45:17.447672+00:00,49.47,47.332413254215396,50.0,50.0,50.0,,50.0,AVERAGE
EICHERMOT,2026-05-06T10:45:17.447672+00:00,54.25,71.26933589303688,50.0,50.0,50.0,,50.0,AVERAGE
DRREDDY,2026-05-06T10:45:17.447672+00:00,49.64,48.186037343574085,50.0,50.0,50.0,,50.0,AVERAGE
DMART,2026-05-06T10:45:17.447672+00:00,41.85,9.265044425173118,50.0,50.0,50.0,,50.0,AVERAGE
HINDALCO,2026-05-06T10:45:17.447672+00:00,42.36,11.780993287827316,50.0,50.0,50.0,,50.0,AVERAGE
RECLTD,2026-05-06T10:45:17.447672+00:00,56.67,83.34115833467685,50.0,50.0,50.0,,50.0,AVERAGE
HEROMOTOCO,2026-05-06T10:45:17.447672+00:00,45.26,26.295128397711874,50.0,50.0,50.0,,50.0,AVERAGE
GODREJCP,2026-05-06T10:45:17.447672+00:00,40.0,0.0,50.0,50.0,50.0,,50.0,AVERAGE
SHRIRAMFIN,2026-05-06T10:45:17.447672+00:00,53.48,67.41569849245653,50.0,50.0,50.0,,50.0,AVERAGE
LICI,2026-05-06T10:45:17.447672+00:00,41.78,8.876830793522773,50.0,50.0,50.0,,50.0,AVERAGE
KOTAKBANK,2026-05-06T10:45:17.447672+00:00,60.0,100.0,50.0,50.0,50.0,,50.0,GOOD
MOTHERSON,2026-05-06T10:45:17.447672+00:00,41.25,6.244862580423914,50.0,50.0,50.0,,50.0,AVERAGE
UNITDSPR,2026-05-06T10:45:17.447672+00:00,46.21,31.057842274111746,50.0,50.0,50.0,,50.0,AVERAGE
ATGL,2026-05-06T10:45:17.447672+00:00,47.43,37.13448942666295,50.0,50.0,50.0,,50.0,AVERAGE
GAIL,2026-05-06T10:45:17.447672+00:00,44.14,20.694363094803453,50.0,50.0,50.0,,50.0,AVERAGE
HDFCLIFE,2026-05-06T10:45:17.447672+00:00,40.0,0.001688815724411906,50.0,50.0,50.0,,50.0,AVERAGE
RELIANCE,2026-05-06T10:45:17.447672+00:00,44.15,20.770570613198682,50.0,50.0,50.0,,50.0,AVERAGE
HDFCBANK,2026-05-06T10:45:17.447672+00:00,52.39,61.952114685579886,50.0,50.0,50.0,,50.0,AVERAGE
HAL,2026-05-06T10:45:17.447672+00:00,55.62,78.08289979307692,50.0,50.0,50.0,,50.0,AVERAGE
GRASIM,2026-05-06T10:45:17.447672+00:00,42.83,14.128108452004644,50.0,50.0,50.0,,50.0,AVERAGE
VEDL,2026-05-06T10:45:17.447672+00:00,45.66,28.317145292800138,50.0,50.0,50.0,,50.0,AVERAGE
ADANIGREEN,2026-05-06T10:45:17.447672+00:00,41.59,49.524169619859784,50.0,50.0,50.0,0.0,50.0,AVERAGE
APOLLOHOSP,2026-05-06T10:45:17.447672+00:00,42.6,13.023720784097556,50.0,50.0,50.0,,50.0,AVERAGE
