symbol,year_label,document_url
BPCL,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4d4ca9ca-9768-442e-828b-ba49f2d2da27.pdf
BPCL,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//a62598f2-46e7-4505-8452-c7c0c424d377.pdf
BPCL,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/500547/70756500547.pdf
BPCL,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/500547/66174500547.pdf
BPCL,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/500547/5005470318.pdf
BPCL,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/500547/5005470317.pdf
BPCL,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/500547/5005470314.pdf
BPCL,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/500547/5005470313.pdf
BPCL,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/500547/5005470312.pdf
BPCL,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/500547/5005470311.pdf
BRITANNIA,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b904266-80e1-442f-add1-8c004ebd137c.pdf
BRITANNIA,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//28eb09ef-a4a7-49b3-9d07-6232648f81f8.pdf
BRITANNIA,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/500825/73081500825.pdf
BRITANNIA,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/500825/69500500825.pdf
BRITANNIA,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250320.pdf
BRITANNIA,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250319.pdf
BRITANNIA,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250318.pdf
BRITANNIA,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250317.pdf
BRITANNIA,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250316.pdf
BRITANNIA,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250315.pdf
BRITANNIA,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250314.pdf
BRITANNIA,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250313.pdf
BRITANNIA,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250312.pdf
BRITANNIA,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/500825/5008250311.pdf
CANBK,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/e755e34b-9a3b-4082-ba59-ddca97649e44.pdf
CANBK,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//d3a9c942-7be2-4c86-ac05-b257cddf1505.pdf
CANBK,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/532483/73046532483_17_06_22.pdf
CANBK,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/532483/68835532483.pdf
CANBK,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830320.pdf
CANBK,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830319.pdf
CANBK,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830318.pdf
CANBK,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830317.pdf
CANBK,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830316.pdf
CANBK,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830315.pdf
CANBK,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830314.pdf
CANBK,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830313.pdf
CANBK,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830312.pdf
CANBK,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/532483/5324830311.pdf
CHOLAFIN,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b5933e1a-170f-4f29-8557-d74886996b98.pdf
CHOLAFIN,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//bbc7892b-4e97-4051-8524-75afcf4197b7.pdf
CHOLAFIN,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/511243/73556511243.pdf
CHOLAFIN,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/511243/68836511243.pdf
CHOLAFIN,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430320.pdf
CHOLAFIN,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/511243/5112430319.pdf
